#Segment ID	0.5μm	1μm	2μm	2.5μm	4μm	4.3μm	5μm	6μm	8μm	10μm
1	0.88	0.92	1.155	1.421	2.517	2.914	4.172	7.081	22.068	43.536
2	0.088	0.087	0.144	0.166	0.348	0.429	0.686	1.347	4.558	7.939
3	0.169	0.199	0.225	0.284	0.606	0.715	1.14	2.133	5.161	6.816
4	0.04	0.04	0.056	0.079	0.184	0.262	0.462	0.947	3.516	5.079
5	0.144	0.161	0.284	0.364	1.16	1.481	2.23	3.608	4.468	2.338
6	0.061	0.09	0.146	0.208	0.96	1.198	1.853	2.724	2.584	1.542
7	0.055	0.052	0.118	0.179	0.802	1.087	1.644	2.116	1.45	0.471
8	0.227	0.229	0.266	0.331	0.712	0.824	1.332	2.377	5.634	6.155
9	0.15	0.168	0.266	0.291	0.825	1.068	1.688	2.622	3.023	1.752
10	0.142	0.176	0.233	0.253	0.595	0.791	1.344	2.479	4.521	4.354
11	0.194	0.191	0.367	0.633	2.497	2.855	3.931	5.622	6.502	4.653
12	0.091	0.113	0.193	0.285	1.333	1.615	2.525	3.45	4.127	2.826
13	0.053	0.057	0.086	0.093	0.201	0.188	0.235	0.285	0.135	0.026
14	0.051	0.045	0.086	0.124	0.41	0.464	0.402	0.234	0.066	0.006
15	0.181	0.206	0.294	0.406	0.998	1.329	2.162	3.67	4.98	2.593
16	0.124	0.123	0.187	0.279	0.795	0.888	1.301	1.766	1.077	0.339
17	0.176	0.219	0.327	0.493	1.469	1.754	2.058	2.194	1.2	0.219
18	0.143	0.163	0.262	0.369	0.912	1.102	1.717	2.999	5.175	4.319
19	0.141	0.159	0.252	0.355	0.881	2.799	3.922	5.136	3.756	1.289
20	0.247	0.27	0.464	0.649	2.295	2.92	3.19	3.239	1.748	0.329
21	0.249	0.326	0.682	0.941	2.492	1.558	2.044	2.075	1.012	0.179
22	0.153	0.196	0.287	0.418	1.282	2.792	3.401	2.967	0.8	0.089